Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
DatRecord;20.0;4.0;9.0;135;1;1;2
MoveToCommand;8.0;1.0;6.0;51;1;0;1
TestOfficeXMLException;7.0;1.0;6.0;141;0;0;3
ContinueRecord;12.0;4.0;26.0;57;1;1;2
HSSFConditionalFormattingThreshold;8.0;1.0;10.0;35;1;1;2
BiffViewer;195.0;1.0;178.0;614;1;1;2
TestEscherPropertyFactory;1.0;1.0;6.0;141;0;0;3
WmfSelectClipRegion;5.0;1.0;6.0;141;0;0;3
ReadOnlySharedStringsTable;30.0;2.0;13.0;141;0;0;1
TestHSSFRangeCopier;2.0;2.0;5.0;141;0;0;3
DoubleList;6.0;1.0;3.0;22;0;0;0
TestXSLFChart;15.0;1.0;36.0;141;0;0;2
TimesheetDemo;17.0;1.0;17.0;141;0;0;2
Finance;12.0;1.0;2.0;134;0;1;1
Range;1.0;1.0;1.0;8;1;1;2
XWPFTable;187.0;1.0;29.0;141;0;0;2
XSSFExportToXml;78.0;1.0;21.0;141;0;0;2
Borders;5.0;0;3.0;141;0;0;3
TestDec2Bin;22.0;1.0;15.0;141;0;0;2
OutlookTextExtactor;6.0;4.0;6.0;141;0;0;3
XDDFManualLayout;47.0;1.0;9.0;141;0;0;1
HwmfObjectTableEntry;0;0;0;141;0;0;3
TestXWPFDocument;25.0;1.0;29.0;141;0;0;2
TestExternalReferenceChange;1.0;1.0;8.0;141;0;0;3
TestPropertySorter;7.0;1.0;10.0;141;0;0;3
LoadPasswordProtectedXlsxStreaming;4.0;1.0;5.0;141;0;0;3
TestXWPFFootnote;5.0;1.0;9.0;141;0;0;3
EmfPolyline16;2.0;4.0;4.0;141;0;0;3
TestExcelAntPrecision;3.0;1.0;1.0;141;0;0;3
Mode;22.0;1.0;13.0;17;1;1;2
Indirect;37.0;1.0;16.0;208;1;1;2
TestXMLSlideShow;15.0;2.0;19.0;141;0;0;2
BarChartExample;7.0;1.0;16.0;141;0;0;2
BarChart;6.0;1.0;29.0;141;0;0;2
AllXSSFUsermodelTests;0.0;1.0;28.0;141;0;0;2
PlainCellCache;5.0;1.0;4.0;59;0;0;0
Footer;0;0;0;39;1;1;2
TestAutoSizeColumnTracker;20.0;1.0;10.0;141;0;0;3
TestXSLFFreeformShape;6.0;1.0;9.0;141;0;0;3
Stub;2.0;2.0;4.0;141;0;0;3
