Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
InternalWorkbook;291.0;1.0;122.0;1124;0;0;2
PanoseWeight;0.0;0;1.0;1124;0;0;3
WMFHandler;1.0;3.0;4.0;1124;0;0;3
TestCode;5.0;1.0;5.0;31;0;0;0
TestHSSFColumnShifting;2.0;2.0;4.0;10;1;0;1
BATBlock;31.0;1.0;14.0;1124;0;1;1
TestStringUtil;11.0;1.0;3.0;134;0;1;1
HSLFBackground;2.0;2.0;9.0;1124;0;0;3
Geomean;4.0;3.0;6.0;1124;0;1;1
Areas;3.0;1.0;8.0;1124;0;0;3
PieChartDemo;8.0;1.0;15.0;1124;0;0;2
WmfDibBitBlt;4.0;2.0;7.0;1124;0;0;3
TestHSSFRichTextString;16.0;1.0;3.0;92;0;0;0
TempFileUtils;5.0;1.0;4.0;1124;0;0;3
XDDFEffectContainer;2.0;1.0;2.0;1124;0;0;3
UnimplementedHemfPlusRecord;5.0;1.0;5.0;1124;0;0;3
HSSFListener;0;0;0;1124;1;1;2
SXSSFWorkbook;116.0;1.0;69.0;1124;0;0;2
TestTempFile;10.0;1.0;5.0;102;0;1;1
POIFSDump;17.0;1.0;14.0;1124;1;1;2
TestLittleEndianStreams;5.0;1.0;5.0;78;0;1;1
TestPointerFactory;4.0;1.0;2.0;1124;0;0;3
TestExcelAntWorkbookUtilFactory;2.0;1.0;3.0;1124;0;0;3
DVALRecord;20.0;4.0;11.0;1124;0;1;1
Shadow;0;0;0;1124;0;0;3
UseSelFSRecord;11.0;4.0;10.0;1124;0;0;3
GenericRecordHandler;0;0;0;1124;0;0;3
EmfPolygon;12.0;2.0;11.0;1124;0;0;3
BorderSide;0.0;0;4.0;1124;0;0;3
EmfSetBkColor;3.0;2.0;5.0;1124;0;0;3
HwmfBitmapDib;43.0;1.0;25.0;1124;0;0;2
Oct2Dec;3.0;2.0;11.0;1124;0;0;3
LogicalFunction;14.0;2.0;16.0;1124;0;0;2
TestBitField;22.0;1.0;3.0;171;0;1;1
ParseNode;24.0;1.0;12.0;1124;0;0;3
TestDataFormatRecord;2.0;1.0;5.0;35;0;1;1
ConnectionSite;10.0;1.0;3.0;1124;0;0;3
RelCubBezTo;26.0;1.0;5.0;1124;0;0;3
TestHSSFTextbox;2.0;1.0;8.0;40;0;0;0
ColumnHelper;66.0;1.0;8.0;1124;0;0;2
PolyLineTo;17.0;1.0;5.0;1124;0;0;3
Slide;0;0;0;1124;0;0;3
WmfPolyPolygon;21.0;1.0;10.0;1124;0;0;3
Margin;0;0;0;1124;0;0;3
SheetDataWriter;72.0;1.0;25.0;1124;0;0;2
XSLFFontData;6.0;2.0;4.0;1124;0;0;3
BATBlockAndIndex;3.0;1.0;7.0;1124;0;0;3
TestDetectAsOOXML;4.0;1.0;6.0;1124;0;0;3
AllHSLFTests;0.0;1.0;10.0;1124;0;0;3
BaseTestFormulaEvaluator;33.0;1.0;19.0;580;0;1;2
AddDimensionedImage;39.0;1.0;15.0;1124;0;0;2
ExternSheetReferenceToken;0;0;0;1124;0;0;3
DataValidationHelper;0;0;0;1124;0;0;3
OutlineTextRefAtom;7.0;3.0;5.0;1124;0;0;3
CRNBlock;3.0;1.0;5.0;1124;0;0;3
BaseTestColumnShifting;4.0;1.0;8.0;51;1;0;1
MAPIAttribute;28.0;1.0;24.0;1124;0;0;2
XDGFRelation;2.0;2.0;8.0;1124;0;0;3
VariantTypeException;3.0;4.0;5.0;1124;0;0;3
SoundFinder;7.0;1.0;7.0;1124;0;0;3
ColorGradientFormatting;32.0;1.0;17.0;1124;0;0;2
NumberFormatIndexRecord;12.0;4.0;6.0;1124;0;1;1
Letterform;0.0;0;2.0;1124;0;0;3
UnknownRecordPlaceholder;6.0;3.0;5.0;1124;0;0;3
PackagePartName;59.0;1.0;68.0;1124;0;0;2
XSLFTestDataSamples;2.0;1.0;21.0;1124;0;0;2
BookmarksTables;25.0;1.0;11.0;1124;0;0;3
HSLFShapeContainer;0;0;0;1124;0;0;3
WmfExtTextOut;18.0;1.0;16.0;1124;0;0;2
LazilyConcatenatedByteArray;9.0;1.0;2.0;1124;0;0;3
RecordAggregate;2.0;2.0;19.0;1124;0;1;2
StandardEncryptionInfoBuilder;13.0;1.0;13.0;1124;0;0;3
LastCellOfRowDummyRecord;6.0;4.0;6.0;1124;0;0;3
DataConsolidateFunction;3.0;0;4.0;1124;0;0;3
Series;17.0;2.0;6.0;1124;0;0;3
RecordConstructor;0;0;0;1124;0;0;3
DrawShape;38.0;1.0;16.0;1124;0;0;2
TestFileHelper;2.0;1.0;2.0;1124;0;0;3
TNEFProperty;9.0;1.0;10.0;1124;0;0;3
Document;34.0;4.0;36.0;1124;1;1;2
Percentile;6.0;2.0;11.0;1124;0;1;1
XSSFAutoFilter;1.0;1.0;2.0;1124;0;0;3
XWPFDefaultRunStyle;4.0;1.0;2.0;1124;0;0;3
TwoArrayArg;6.0;2.0;11.0;1124;0;0;3
ArmStyle;0.0;0;2.0;1124;0;0;3
TextAutofit;0.0;0;2.0;1124;0;0;3
Fixed1ArgFunction;2.0;1.0;35.0;1124;0;0;2
HSSFDateUtil;1.0;2.0;1.0;1124;0;1;1
TextStyleListing;17.0;1.0;11.0;1124;0;0;3
FontCharset;7.0;0;19.0;1124;0;0;2
PackagePartConstructor;0;0;0;1124;0;0;3
XDDFArea3DChartData;24.0;2.0;9.0;1124;0;0;3
DirectoryProperty;17.0;2.0;18.0;1124;0;1;2
FillDrawStyle;3.0;0;18.0;1124;0;0;2
FieldType;0.0;0;4.0;1124;0;0;3
HsGetValue;2.0;1.0;6.0;1124;0;0;3
TestTxMasterStyleAtom;22.0;1.0;10.0;1124;0;0;3
TestPOIFSReaderRegistry;19.0;1.0;6.0;118;0;0;3
TestPropertyTemplate;116.0;1.0;12.0;897;0;1;2
ParagraphSprmUncompressor;89.0;2.0;21.0;1124;0;0;2
ExcelComparator;111.0;1.0;23.0;1124;0;0;2
MockDrawingManager;3.0;2.0;3.0;19;0;0;0
NotImplemented;0;0;0;1124;0;0;3
AnchorType;3.0;0;2.0;1124;0;0;3
CellNumberStringMod;13.0;1.0;2.0;1124;0;0;3
TestReadOnlySharedStringsTable;6.0;1.0;7.0;1124;0;0;3
HeadersFootersAtom;13.0;3.0;12.0;1124;0;0;3
NumericFunction;61.0;1.0;30.0;1124;1;1;2
FibRgLw95;20.0;2.0;4.0;1124;0;0;3
ArrayMode;0;0;0;1124;0;0;3
FileHandler;0;0;0;1124;0;0;3
TestSXSSFSheet;12.0;3.0;10.0;1124;0;0;3
BaseTestXSSFPivotTable;20.0;1.0;13.0;1124;0;0;3
CustomProperty;9.0;2.0;6.0;1124;0;0;3
TCAbstractType;78.0;1.0;7.0;1124;0;0;2
TempFilePOIFSFileSystem;3.0;3.0;4.0;1124;0;0;3
ValidationEnum;38.0;0;16.0;1124;0;0;2
DocumentInputStream;47.0;2.0;50.0;1124;0;1;2
FibRgLw97;20.0;2.0;4.0;1124;0;0;3
ParagraphProperties;62.0;2.0;17.0;1124;0;0;2
TestExcelConverterSuite;4.0;1.0;6.0;1124;0;0;3
DrawTextShape;26.0;3.0;19.0;1124;0;0;2
Decryptor;28.0;1.0;46.0;1124;0;1;2
WmfCreateFontIndirect;9.0;1.0;11.0;1124;0;0;3
FSPATable;11.0;1.0;11.0;1124;0;0;3
CompoundLine;3.0;0;1.0;1124;0;0;3
LVLF;2.0;2.0;2.0;1124;0;0;3
XWPFDefaultParagraphStyle;4.0;1.0;2.0;1124;0;0;3
TestXSLFShapeContainer;2.0;1.0;6.0;1124;0;0;3
UnknownEscherRecord;20.0;2.0;12.0;1124;0;1;1
FontEmbeddedData;12.0;3.0;10.0;1124;0;0;3
XDDFBulletStyleNone;2.0;1.0;2.0;1124;0;0;3
StringChunk;20.0;2.0;18.0;1124;0;0;2
HPBFPart;9.0;1.0;7.0;1124;0;0;3
HwmfWindowing;0.0;1.0;1.0;1124;0;0;3
SinglentonTextPiece;9.0;3.0;4.0;1124;0;0;3
TestXSSFFirstHeader;3.0;1.0;3.0;1124;0;0;3
EmfCommentDataWMF;6.0;1.0;12.0;1124;0;0;3
HwmfBitmap16;6.0;1.0;8.0;1124;0;0;3
XWPFRun;223.0;1.0;50.0;1124;0;0;2
TestRecordSetup;7.0;1.0;7.0;1124;0;0;3
DividePtg;5.0;4.0;5.0;1124;0;0;3
TestFormulaShifter;29.0;1.0;8.0;344;0;1;1
XDDFGradientStop;25.0;1.0;8.0;1124;0;0;3
WmfSetBkColor;6.0;1.0;9.0;1124;0;0;3
Range;110.0;1.0;76.0;1124;0;1;2
PrintCellComments;4.0;0;2.0;1124;0;0;3
ExternalNameEval;3.0;1.0;4.0;1124;0;0;3
CountUtils;17.0;1.0;11.0;1124;0;0;3
ExcelAntSet;3.0;1.0;7.0;1124;0;0;3
AutoSizeColumnTracker;28.0;1.0;8.0;1124;0;0;3
FormulaRenderer;17.0;1.0;20.0;1124;0;1;2
SheetUtil;45.0;1.0;24.0;1124;0;1;2
HSSFFont;38.0;1.0;28.0;1124;0;0;2
SheetToCSV;10.0;1.0;5.0;1124;0;0;3
TestPercentPtg;1.0;2.0;6.0;20;0;0;0
ImageHeaderPNG;3.0;1.0;6.0;1124;0;0;3
TablePartStyle;0.0;0;3.0;1124;0;0;3
NameRecord;70.0;4.0;32.0;1124;0;1;2
TestFactory;2.0;2.0;3.0;1124;0;0;3
EscherGraphics2d;97.0;3.0;5.0;1124;0;0;2
DelayableLittleEndianOutput;0;0;0;1124;0;0;3
LVLFAbstractTypeTest;1.0;1.0;1.0;1124;0;0;3
ValueFunction;0;0;0;1124;0;0;3
OldCellRecord;10.0;1.0;6.0;1124;0;0;3
FormulaValue;4.0;1.0;8.0;1124;0;0;3
XSSFFontFormatting;35.0;1.0;8.0;1124;0;0;3
RecordInputStream;67.0;1.0;259.0;1124;0;1;2
ErrorValueType;3.0;0;2.0;1124;0;0;3
XDDFSolidFillProperties;25.0;1.0;18.0;1124;0;0;2
TestFunctionMetadataRegistry;2.0;1.0;3.0;16;0;1;1
XSSFColumnShifter;5.0;3.0;7.0;1124;0;0;3
DataSource;0.0;1.0;3.0;1124;0;1;1
SettingExternalFunction;1.0;1.0;6.0;1124;0;0;3
