Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
VanishingCutHandler;0;0;0;19;1;0;1
Sum;15.0;3.0;14.0;185;1;1;2
Skew;0.0;0;1.0;9;0;0;0
StepNormalizer;18.0;1.0;11.0;249;1;1;2
FirstOrderFieldIntegrator;0;0;0;142;1;0;1
DormandPrince54FieldStepInterpolator;4.0;3.0;9.0;206;1;0;1
EulerStepInterpolator;7.0;3.0;6.0;72;1;0;1
Pow;1.0;1.0;3.0;11;1;1;2
SumSqTest;4.0;3.0;5.0;345;0;0;3
EuclideanDistance;1.0;1.0;14.0;14;1;1;2
ExpFracTable;2.0;1.0;4.0;29;0;0;0
HermiteInterpolatorTest;38.0;1.0;6.0;345;0;0;3
SparseGradientTest;150.0;2.0;10.0;345;0;0;2
ThreeEighthesFieldIntegratorTest;15.0;2.0;6.0;345;0;0;3
ComplexFormat;40.0;1.0;9.0;357;0;1;1
SimplePointCheckerTest;3.0;1.0;3.0;345;0;0;3
LazyHolder;0.0;1.0;1.0;7;0;0;0
ParetoDistribution;27.0;2.0;8.0;264;1;1;2
Network;44.0;1.0;20.0;415;1;0;2
RealVectorTestImpl;14.0;2.0;12.0;345;0;0;3
MultivariateNormalDistribution;22.0;2.0;21.0;192;1;1;2
JennrichSampsonFunction;5.0;2.0;3.0;345;0;0;3
RandomStraightLinePointGenerator;4.0;1.0;6.0;345;0;0;3
LinearObjectiveFunction;12.0;1.0;9.0;111;1;1;2
DoubleIndex;6.0;1.0;1.0;39;0;0;0
EmbeddedRungeKuttaFieldIntegratorAbstractTest;36.0;1.0;35.0;345;0;0;2
UnivariateOptimizer;0;0;0;9;1;0;1
LowerBoundMapper;3.0;1.0;3.0;21;0;0;0
DormandPrince54FieldIntegratorTest;13.0;2.0;6.0;345;0;0;3
LineTest;8.0;1.0;5.0;345;0;0;3
CurveFitter;11.0;1.0;15.0;186;1;1;2
TwoAxes;5.0;1.0;3.0;345;0;0;3
DefaultIterativeLinearSolverEvent;8.0;4.0;5.0;111;1;0;1
FieldODEState;14.0;1.0;42.0;96;0;1;2
UnivariateDifferentiableSolver;0;0;0;8;1;0;1
MultistepFieldIntegrator;18.0;3.0;26.0;345;1;1;2
BrentOptimizer;33.0;2.0;11.0;268;1;1;2
MersenneTwisterTest;6.0;3.0;5.0;345;0;0;3
BrentSolver;21.0;3.0;12.0;202;1;1;2
Corrector;8.0;1.0;9.0;66;0;0;0
WeibullDistributionTest;9.0;2.0;5.0;345;0;0;3
OLSMultipleLinearRegression;17.0;2.0;15.0;242;1;1;2
MathInternalError;3.0;6.0;33.0;33;0;0;2
CircleScalar;10.0;1.0;5.0;345;0;0;3
Vector2DFormatAbstractTest;29.0;1.0;6.0;345;0;0;3
DummyChromosome;2.0;2.0;2.0;345;0;0;3
DormandPrince54StepInterpolator;13.0;3.0;7.0;159;1;0;1
Action;0.0;0;7.0;32;1;1;2
StatisticalReferenceDatasetFactory;16.0;1.0;4.0;345;0;0;3
UnivariateMatrixFunction;0;0;0;13;1;0;1
DBSCANClusterer;20.0;1.0;7.0;179;1;1;2
MinPermutations;5.0;4.0;4.0;345;0;0;3
IntervalUtils;10.0;1.0;12.0;139;0;1;1
MultipleLinearRegression;0;0;0;45;1;1;2
PercentileTest;70.0;2.0;22.0;345;0;0;2
MultivariateSummaryStatisticsTest;12.0;1.0;9.0;345;0;0;3
NonNegativeConstraint;2.0;1.0;3.0;25;0;0;0
Brusselator;8.0;2.0;4.0;345;0;0;3
SparseRealMatrix;0;0;0;14;0;0;0
MainStateJacobianProvider;0;0;0;18;1;0;1
BracketFinder;29.0;1.0;10.0;239;0;1;1
VanishingToLeaf;3.0;1.0;5.0;21;0;0;0
BivariateFunction;0;0;0;15;1;0;1
SummaryStatisticsTest;23.0;1.0;11.0;345;0;0;3
Line;43.0;1.0;35.0;484;1;1;2
RungeKuttaFieldIntegratorAbstractTest;49.0;1.0;40.0;345;0;0;2
LegendreHighPrecisionParametricTest;5.0;2.0;2.0;345;0;0;3
StepNormalizerTest;14.0;1.0;11.0;345;0;0;3
UnivariateStatistic;0;0;0;31;1;1;2
HorizontalDirection;0.0;0;3.0;12;0;0;0
AdamsNordsieckFieldTransformer;22.0;1.0;13.0;301;0;1;1
PolynomialFitter;5.0;2.0;4.0;84;0;0;0
DifferentiableMultivariateVectorMultiStartOptimizer;1.0;2.0;4.0;31;0;0;0
AdamsNordsieckTransformerTest;10.0;1.0;5.0;345;0;0;3
LocalizedFormatsTest;15.0;1.0;2.0;345;0;0;3
GTest;32.0;1.0;13.0;487;0;1;1
HermiteTest;6.0;1.0;4.0;345;0;0;3
Clusterable;0;0;0;24;1;0;1
UnboundedSolutionException;1.0;6.0;4.0;17;0;0;0
MatrixDimensionMismatchException;5.0;7.0;20.0;50;0;0;2
BracketingNthOrderBrentSolverTest;18.0;2.0;13.0;345;0;0;3
BracketFinderTest;10.0;1.0;3.0;345;0;0;3
Event;4.0;1.0;3.0;345;1;0;1
TestProblemAbstract;13.0;1.0;40.0;345;0;0;2
AbstractLeastSquaresOptimizerTestValidation;16.0;1.0;9.0;345;0;0;3
AggregateSummaryStatisticsTest;33.0;1.0;11.0;345;0;0;3
NewtonRaphsonSolver;6.0;3.0;9.0;63;1;1;2
AbstractConvergenceChecker;3.0;1.0;5.0;76;1;0;1
NodesSet;7.0;1.0;8.0;39;1;0;1
FirstOrderIntegrator;0;0;0;38;1;0;1
AbstractUnivariateStatisticTest;4.0;1.0;3.0;345;0;0;3
Region;0;0;0;171;1;0;1
QRDecomposition;30.0;1.0;19.0;401;1;1;2
FieldVectorTestImpl;44.0;1.0;7.0;345;0;0;3
SynchronizedSummaryStatisticsTest;1.0;2.0;3.0;345;0;0;3
BaseSecantSolver;39.0;3.0;13.0;230;1;1;2
LUDecomposition;31.0;1.0;20.0;331;1;1;2
LeastSquaresConverter;13.0;1.0;7.0;155;1;0;1
PivotingStrategyInterface;0;0;0;21;1;0;1
FastMathCalc;46.0;1.0;6.0;543;0;1;1
Retry;0;0;0;345;0;0;3
DefaultProcessModel;8.0;1.0;9.0;125;1;0;1
AbstractLeastSquaresOptimizer;33.0;2.0;37.0;500;1;1;2
Range;5.0;1.0;3.0;47;0;0;0
GLSMultipleLinearRegression;7.0;2.0;8.0;101;1;0;1
ZipfRejectionInversionSampler;14.0;1.0;4.0;183;0;0;3
Cigar;4.0;1.0;3.0;345;0;0;3
DummyChromosome;2.0;2.0;1.0;345;0;0;3
SsDiffPow;1.0;1.0;4.0;345;0;0;3
Cos;3.0;1.0;12.0;24;1;1;2
MinpackTest;19.0;1.0;28.0;345;0;0;2
BetaTest;43.0;1.0;7.0;345;0;0;3
ValueServerTest;18.0;1.0;6.0;345;0;0;3
BicubicSplineInterpolatorTest;15.0;1.0;9.0;345;0;0;3
KeplerStepHandler;5.0;1.0;5.0;345;0;0;3
RuleBuilder;2.0;1.0;4.0;345;0;0;3
MultivariateFunctionPenaltyAdapterTest;5.0;1.0;11.0;345;0;0;3
AdamsMoultonFieldIntegratorTest;8.0;2.0;9.0;345;0;0;3
IterativeLegendreGaussIntegrator;10.0;2.0;15.0;141;1;1;2
OLSMultipleLinearRegressionTest;32.0;2.0;12.0;345;0;0;3
LimitAngle;12.0;1.0;11.0;91;1;0;1
LinearConstraintSet;4.0;1.0;4.0;35;0;0;0
Array2DRowFieldMatrix;79.0;2.0;36.0;528;1;1;2
FieldRotation;118.0;1.0;18.0;1425;0;1;2
GillFieldStepInterpolatorTest;5.0;2.0;10.0;345;0;0;3
IntegerDistribution;0;0;0;123;1;1;2
EmbeddedRungeKuttaFieldIntegrator;31.0;3.0;25.0;297;1;1;2
MinpackFunction;16.0;1.0;23.0;345;0;0;2
Model;2.0;1.0;2.0;345;1;1;2
TestBitStreamGenerator;4.0;2.0;3.0;345;0;0;3
RungeKuttaIntegrator;22.0;2.0;22.0;201;1;1;2
NonLinearConjugateGradientOptimizer;23.0;3.0;20.0;351;1;1;2
FieldLUSolverTest;15.0;1.0;12.0;345;0;0;3
IntervalUtilsTest;5.0;1.0;6.0;345;0;0;3
UpperBoundMapper;3.0;1.0;3.0;19;0;0;0
CigTab;4.0;1.0;3.0;345;0;0;3
ContinuedFractionTest;3.0;1.0;1.0;345;0;0;3
UpdatingMultipleLinearRegression;0;0;0;64;1;0;1
BlockFieldMatrix;182.0;2.0;23.0;1395;1;1;2
Bounce;5.0;1.0;3.0;345;0;0;3
QuinticFunction;2.0;1.0;23.0;345;0;0;2
Gamma;49.0;1.0;19.0;611;1;1;2
FourthMoment;8.0;6.0;8.0;115;1;1;2
EnumeratedRealDistributionTest;20.0;1.0;11.0;345;0;0;3
FieldEquationsMapper;21.0;1.0;51.0;161;0;1;2
PolynomialFunction;47.0;1.0;38.0;350;1;1;2
LazyHolder;0.0;1.0;1.0;7;0;0;0
AbstractOptimizationProblem;4.0;1.0;6.0;71;1;0;1
DefaultMeasurementModel;4.0;1.0;7.0;54;1;0;1
CircleVectorial;12.0;1.0;8.0;345;0;0;3
Pair;16.0;1.0;67.0;126;1;0;2
MaxCountExceededCallback;0;0;0;13;1;0;1
Well44497bTest;4.0;3.0;5.0;345;0;0;3
Rosen;2.0;1.0;3.0;345;0;0;3
FourExtrema;2.0;1.0;3.0;345;0;0;3
ValueAndJacobianFunction;0;0;0;22;1;0;1
HermiteParametricTest;6.0;2.0;3.0;345;0;0;3
StatisticalMultivariateSummary;0;0;0;87;1;0;1
RealVectorPreservingVisitor;0;0;0;37;0;0;0
RungeKuttaFieldIntegrator;21.0;2.0;30.0;203;1;1;2
JennrichSampsonFunction;3.0;2.0;3.0;345;0;0;3
lnMant;2.0;1.0;4.0;17;0;0;0
Location;0.0;0;17.0;9;0;0;2
SubLineTest;13.0;1.0;8.0;345;0;0;3
PopulationSize;3.0;1.0;4.0;31;0;0;0
ChebyquadFunction;12.0;2.0;2.0;345;0;0;3
VectorialCovariance;21.0;1.0;8.0;115;0;1;1
Vector2DTest;1.0;1.0;1.0;345;0;0;3
LutherIntegrator;1.0;3.0;6.0;58;0;1;1
ConvexHullGenerator2D;0;0;0;9;1;1;2
AbstractLeastSquaresOptimizerTest;6.0;1.0;13.0;345;0;0;3
DummyChromosome;2.0;2.0;2.0;345;0;0;3
DummyStepInterpolatorTest;8.0;1.0;7.0;345;0;0;3
Logit;12.0;1.0;12.0;165;1;1;2
WeibullDistribution;30.0;2.0;11.0;296;1;1;2
ContinuousOutputModelTest;14.0;1.0;18.0;345;0;0;2
FieldMatrixChangingVisitor;0;0;0;34;1;0;1
BicubicSplineInterpolator;20.0;1.0;14.0;135;1;1;2
MinpackFunction;16.0;1.0;24.0;345;0;0;2
EigenDecomposition;100.0;1.0;25.0;875;1;1;2
S1Point;14.0;1.0;16.0;113;1;1;2
Linear;11.0;1.0;7.0;345;0;0;3
Rastrigin;5.0;1.0;4.0;345;0;0;3
