Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,38,1,2,1,1,0.023802629,10,38,3,419,421,27,65,335,328,385,247,379,384,390,361
org.jfree.chart.renderer.xy.XYBubbleRenderer,33,1,2,1,1,0.397560922,3,26,3,165,371,21,27,256,195,353,247,289,356,371,256
org.jfree.chart.renderer.xy.XYDifferenceRenderer,26,1,2,1,1,0.054458503,10,33,3,562,398,22,86,326,328,373,247,389,370,373,379
org.jfree.chart.renderer.xy.XYDotRenderer,67,1,2,1,1,0.59942828,0,11,3,49,352,10,6,211,1,262,247,131,348,287,66
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,43,1,2,1,1,0.00389728,14,32,3,561,435,23,114,357,357,370,247,388,392,377,390
org.jfree.chart.renderer.xy.XYStepAreaRenderer,18,1,2,1,1,0.04665442,3,23,3,266,382,17,53,328,195,333,247,345,359,345,339
org.jfree.chart.renderer.xy.XYStepRenderer,75,1,2,1,1,0.215210363,2,21,4,115,409,18,18,296,127,320,330,243,376,354,199
org.jfree.chart.renderer.xy.YIntervalRenderer,67,1,2,1,1,0.399603485,0,22,3,80,362,18,10,255,1,327,247,196,351,354,119
org.jfree.chart.title.AttributedTextTitle,22,1,2,1,1,0.00272829,10,30,3,307,159,20,67,367,328,366,247,359,310,367,365
org.jfree.chart.title.CompositeTitle,25,1,2,1,1,1.53E-04,11,9,3,74,121,7,18,383,342,239,247,181,299,258,199
org.jfree.chart.title.DateTitle,20,1,2,1,1,0.491457493,1,10,4,36,125,7,5,235,43,250,330,84,302,258,58
org.jfree.chart.title.ImageTitle,7,1,2,1,1,0.359324513,4,15,3,178,131,11,28,266,238,296,247,295,305,300,261
org.jfree.chart.title.LegendGraphic,56,1,2,1,1,0.020231289,6,19,2,308,141,14,77,338,273,310,150,360,307,323,375
org.jfree.chart.title.LegendTitle,37,1,2,1,1,6.70E-05,11,29,3,309,191,19,63,389,342,362,247,361,318,361,358
org.jfree.chart.title.TextTitle,36,1,2,1,1,0.002375358,15,36,3,406,174,23,89,368,363,380,247,378,314,377,383
org.jfree.chart.title.Title,54,1,2,1,1,0.009399531,14,19,2,293,125,18,72,349,357,310,150,353,302,354,371
org.jfree.chart.ui.ColorPalette,8,1,2,1,1,0.558171336,5,5,1,210,49,3,53,216,259,167,1,315,204,148,339
org.jfree.chart.urls.CustomXYURLGenerator,29,1,2,1,1,0.64916686,1,3,1,73,25,3,21,195,43,121,1,180,91,148,223
org.jfree.chart.urls.StandardCategoryURLGenerator,29,1,2,1,1,0.852278635,1,4,1,82,23,1,20,115,43,146,1,199,77,51,218
org.jfree.chart.urls.StandardPieURLGenerator,67,1,2,1,1,0.896490589,1,1,1,54,17,1,11,89,43,44,1,149,37,51,133
org.jfree.chart.urls.StandardXYURLGenerator,40,1,2,1,1,0.810424159,3,2,1,62,17,1,14,135,195,97,1,165,37,51,169
org.jfree.data.category.DefaultCategoryDataset,54,1,2,1,1,0.069033783,6,2,2,125,81,2,34,318,273,97,150,251,272,109,285
org.jfree.data.DataUtilities,80,1,2,1,1,0.741446513,5,4,1,67,27,3,18,159,259,146,1,174,105,148,199
org.jfree.data.DefaultKeyedValue,57,1,2,1,1,0.877911313,2,0,1,47,20,0,15,101,127,1,1,123,62,1,176
org.jfree.data.DefaultKeyedValues,78,1,2,1,1,0.451040884,6,14,1,141,54,6,36,247,273,286,1,266,224,241,293
org.jfree.data.DefaultKeyedValues2D,57,1,2,1,1,0.274854708,5,8,1,227,71,3,54,285,259,228,1,325,258,148,344
org.jfree.data.DomainOrder,60,1,2,1,1,0.932802089,1,1,1,43,17,1,11,67,43,44,1,107,37,51,133
org.jfree.data.gantt.Task,100,1,2,1,1,0.749509253,3,6,1,85,34,3,24,157,195,191,1,202,140,148,243
org.jfree.data.gantt.TaskSeries,67,1,2,1,1,0.390701142,6,4,2,59,46,2,16,260,273,146,150,160,192,109,181
org.jfree.data.gantt.TaskSeriesCollection,81,1,2,1,1,0.051646649,2,10,3,279,122,6,66,327,127,250,247,350,300,241,363
org.jfree.data.general.DatasetGroup,20,1,2,1,1,0.914511852,1,0,1,33,16,0,9,81,43,1,1,76,31,1,102
org.jfree.data.general.DatasetUtilities,70,1,2,1,1,0.005980272,25,25,1,853,110,20,197,353,392,349,1,402,292,367,405
org.jfree.data.general.DefaultKeyedValueDataset,50,1,2,1,1,0.654357368,5,3,2,69,38,0,20,193,259,121,150,177,165,1,218
org.jfree.data.general.DefaultPieDataset,57,1,2,1,1,0.320417409,9,3,2,100,59,2,27,278,322,121,150,222,237,109,256
org.jfree.data.KeyedObject,100,1,2,1,1,0.896305784,1,1,1,42,18,0,11,90,43,44,1,105,48,1,133
org.jfree.data.KeyedObjects,77,1,2,1,1,0.478427743,2,4,1,121,37,3,31,239,127,146,1,248,163,148,270
org.jfree.data.KeyedObjects2D,48,1,2,1,1,0.392927838,3,5,1,154,48,3,39,258,195,167,1,280,199,148,306
org.jfree.data.KeyToGroupMap,83,1,2,1,1,0.599955077,3,9,1,158,47,5,37,210,195,239,1,284,196,222,299
org.jfree.data.Range,59,1,2,1,1,0.556530755,55,0,1,142,31,0,34,217,411,1,1,269,126,1,285
org.jfree.data.RangeType,60,1,2,1,1,0.932802089,1,1,1,43,17,1,11,67,43,44,1,107,37,51,133
org.jfree.data.statistics.BoxAndWhiskerCalculator,67,1,2,1,1,0.537068513,2,7,1,107,29,3,17,227,127,208,1,232,121,148,188
org.jfree.data.statistics.BoxAndWhiskerItem,36,1,2,1,1,0.799566073,3,3,1,99,23,1,22,143,195,121,1,220,77,51,235
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,8,1,2,1,1,0.055346624,1,6,2,286,117,4,63,325,43,191,150,351,296,189,358
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,19,1,2,1,1,0.211042022,1,4,2,134,81,4,32,299,43,146,150,256,272,189,274
org.jfree.data.statistics.HistogramBin,50,1,2,1,1,0.887877283,1,0,1,49,19,0,12,95,43,1,1,131,56,1,154
org.jfree.data.statistics.HistogramDataset,38,1,2,1,1,0.378625226,5,8,5,182,96,4,43,261,259,228,371,299,283,189,322
org.jfree.data.statistics.MeanAndStandardDeviation,60,1,2,1,1,0.905268841,2,1,1,36,16,0,9,85,127,44,1,84,31,1,102
org.jfree.data.statistics.Regression,100,1,2,1,1,0.88744223,0,1,1,114,22,1,12,96,1,44,1,240,69,51,154
org.jfree.data.statistics.SimpleHistogramBin,73,1,2,1,1,0.710827117,2,0,1,114,24,0,32,168,127,1,1,240,82,1,274
org.jfree.data.statistics.SimpleHistogramDataset,24,1,2,1,1,0.343751398,6,9,5,141,98,4,38,272,273,239,371,266,286,189,303
org.jfree.data.statistics.Statistics,64,1,2,1,1,0.456607865,2,5,1,198,35,3,41,245,127,167,1,310,152,148,318
