Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
AbstractXYAnnotation;16.0;2.0;19.0;143;1;1;2
MatrixSeries;20.0;2.0;6.0;160;1;0;1
ImageTitle;27.0;3.0;10.0;266;1;1;2
StandardPieToolTipGenerator;7.0;2.0;7.0;91;1;0;1
LookupPaintScaleTest;6.0;1.0;2.0;182;0;0;3
CategoryMarkerTest;6.0;1.0;5.0;182;0;0;3
CyclicNumberAxisTest;4.0;1.0;3.0;182;0;0;3
TimeSeriesDataItem;16.0;1.0;7.0;163;1;1;2
ImageEncoder;0;0;0;51;1;0;1
SimpleTimePeriodTest;7.0;1.0;2.0;182;0;0;3
DefaultCategoryDatasetTest;14.0;1.0;4.0;182;0;0;3
MinMaxCategoryRenderer;47.0;3.0;16.0;430;1;1;2
SpiderWebPlot;139.0;2.0;32.0;1347;1;1;2
XYItemRendererState;7.0;2.0;40.0;129;1;0;2
XYBarDataset;29.0;5.0;12.0;319;1;0;1
DataPackageResources_pl;1.0;3.0;0.0;19;1;0;1
XYLineAnnotationTest;5.0;1.0;3.0;182;0;0;3
LocalListener;1.0;1.0;3.0;182;0;0;3
Hour;37.0;2.0;11.0;401;1;1;2
PaintScaleLegend;70.0;3.0;25.0;608;1;1;2
MarkerAxisBandTest;3.0;1.0;2.0;182;0;0;3
XYDatasetTableModel;17.0;2.0;6.0;193;1;0;1
LengthAdjustmentType;11.0;1.0;8.0;86;0;0;0
WeekTest;38.0;1.0;4.0;182;0;0;1
MillisecondTest;27.0;1.0;8.0;182;0;0;1
GrayPaintScaleTest;5.0;1.0;2.0;182;0;0;3
NumberTickUnit;12.0;2.0;17.0;102;1;1;2
TextTitle;102.0;3.0;39.0;747;1;1;2
Pointer;18.0;3.0;10.0;234;1;1;2
CustomXYItemLabelGeneratorTest;3.0;1.0;3.0;182;0;0;3
DefaultPolarPlotEditor;14.0;6.0;7.0;140;1;0;1
StatisticalCategoryDataset;0;0;0;42;1;0;1
IntervalCategoryItemLabelGenerator;9.0;3.0;10.0;80;1;0;1
DateTickMarkPositionTest;3.0;1.0;2.0;182;0;0;3
StandardBarPainterTest;4.0;1.0;3.0;182;0;0;3
ChartChangeEvent;7.0;2.0;35.0;74;0;0;2
ItemHandler;11.0;2.0;6.0;108;1;0;1
TextBlockAnchor;17.0;1.0;12.0;125;0;0;3
LogTick;2.0;3.0;5.0;30;0;0;0
HighLowItemLabelGeneratorTest;5.0;1.0;3.0;182;0;0;3
SeriesException;1.0;4.0;7.0;15;0;0;0
HeatMapUtils;7.0;1.0;6.0;75;0;1;1
LevelRenderer;35.0;3.0;18.0;350;1;1;2
ChartProgressListener;0;0;0;12;1;0;1
StackedAreaRendererTest;6.0;1.0;7.0;182;0;0;3
XYDotRenderer;30.0;3.0;19.0;290;1;1;2
TextBox;47.0;1.0;10.0;335;0;1;1
LogAxisTest;12.0;1.0;14.0;182;0;0;3
CategoryTextAnnotationTest;5.0;1.0;4.0;182;0;0;3
PolarAxisLocation;15.0;1.0;1.0;108;0;0;3
KeyedObjects2DTest;11.0;1.0;3.0;182;0;0;3
StackedXYAreaRendererTest;8.0;1.0;15.0;182;0;0;2
LocalListener;1.0;1.0;3.0;182;0;0;3
OutlierListCollection;12.0;1.0;4.0;120;0;0;3
ThermometerPlotTest;4.0;1.0;3.0;182;0;0;3
MarkerAxisBand;18.0;1.0;9.0;187;0;1;1
OverwriteDataSet;17.0;1.0;8.0;173;0;0;3
XYItemRenderer;0;0;0;1269;1;1;2
StandardEntityCollection;16.0;1.0;13.0;139;1;1;2
RectangleEdge;24.0;1.0;101.0;161;0;1;2
Pin;15.0;3.0;10.0;160;0;0;3
DateTitleTest;4.0;1.0;3.0;182;0;0;3
CompassPlot;86.0;2.0;26.0;697;1;1;2
AbstractXYDataset;5.0;3.0;18.0;50;1;0;2
StandardXYSeriesLabelGenerator;10.0;1.0;10.0;109;1;1;2
HeatMapDataset;0;0;0;101;1;1;2
XIntervalSeriesCollectionTest;6.0;1.0;5.0;182;0;0;3
DateAxis;153.0;3.0;31.0;1611;1;1;2
DialValueIndicator;60.0;2.0;16.0;635;1;1;2
XYPointerAnnotation;37.0;4.0;16.0;429;1;1;2
CategoryPlot;541.0;2.0;113.0;4482;1;1;2
MarkerChangeListener;0;0;0;16;1;0;1
ChartUtils;30.0;1.0;15.0;557;0;1;2
MovingAverageTest;2.0;1.0;4.0;182;0;0;3
DefaultAxisEditor;28.0;5.0;13.0;387;1;1;2
JSONValue;40.0;1.0;5.0;287;0;1;1
BlockContainerTest;3.0;1.0;5.0;182;0;0;3
PiePlot;297.0;2.0;57.0;2999;1;1;2
DefaultPlotEditor;67.0;5.0;19.0;498;1;1;2
XYSplineRenderer;46.0;4.0;17.0;409;1;1;2
CategoryStepRendererTest;5.0;1.0;10.0;182;0;0;3
LayeredBarRenderer;49.0;4.0;18.0;343;1;0;2
